repo_name,repo_full_name,Software Title,Description
matchSIRET,etalab/matchSIRET,matchSIRET,"Ce dépôt propose un code pour créer et alimenter un index Elasticsearch avec les données [base SIRENE de l'INSEE, après géolocalisation par Etalab](https://files.data.gouv.fr/geo-sirene/), ainsi que pour faire des recherches d'établissements sur cet index Elasticsearch. Le dépôt comprend aussi une liste de quelques sources de données en open data comprenant des libellés d'entreprise"
programme10pourcent-socratext,etalab/programme10pourcent-socratext,Socratext: OCR et extraction d'informations de documents administratifs,Ce projet est développé dans le cadre du [programme 10%](https://10pourcent.etalab.studio/) piloté par Etalab.
flask-storage,etalab/flask-storage,Flask-Storage,Simple and easy file storages for Flask
catalogage-donnees-config,etalab/catalogage-donnees-config,`catalogage-donnees-config`,Ce répertoire contient des fichiers de configuration relatifs à l'instance de production de l'outil [catalogage-donnees](https://github.com/etalab/catalogage-donnees) en cours de développement.
udata-event-consumer,etalab/udata-event-consumer,event-consumer,**⚠️ This repository is archived following the use of Webhooks instead of Kafka in udata.**
vector-test,etalab/vector-test,vector-test,Playground around vector and webserver logs.
schema-vehicules-faibles-emissions-renouvellement-parc-synthese,etalab/schema-vehicules-faibles-emissions-renouvellement-parc-synthese,"Part des véhicules à faibles émissions dans le renouvellement des parcs d’entreprises de location, location-vente, de crédit-bail de véhicules, des plateformes de livraisons et des centrales de réservation de taxi et VTC","Spécification du fichier d’échange relatif aux parts de véhicules à faibles émissions dans les parcs de véhicules des entreprises de location, location-vente et crédit-bail de véhicules, des plateformes de livraison, des centrales de réservation de taxi et de VTC."
prix-carburants-data,etalab/prix-carburants-data,Traitements des données prix des carburants,[Les données sources](https://www.data.gouv.fr/fr/datasets/prix-des-carburants-en-france-flux-instantane/) se trouvent sur data.gouv.fr
SIANCE,etalab/SIANCE,SIANCE,Archive of SIANCE project (May 2021 version)
etalab-website,etalab/etalab-website,"<p align=""center"">",
site-aic-v2,etalab/site-aic-v2,Site AIC - Accélérateur d'initiatives citoyennes,Le code du site fonctionne à travers deux branches : `master` et `prepod-v2`.
siade_staging_data,etalab/siade_staging_data,Données de tests API Entreprise v3+ & API Particulier / Utilisation de l'environnement de test,Ce dépôt contient l'ensemble des données de tests pour les environnements de bac
cachex,etalab/cachex,Cachex,[![Build Status](https://img.shields.io/github/actions/workflow/status/whitfin/cachex/ci.yml?branch=main)](https://github.com/whitfin/cachex/actions) [![Coverage Status](https://img.shields.io/coveralls/whitfin/cachex.svg)](https://coveralls.io/github/whitfin/cachex) [![Hex.pm Version](https://img.shields.io/hexpm/v/cachex.svg)](https://hex.pm/packages/cachex) [![Documentation](https://img.shields.io/badge/docs-latest-blue.svg)](https://hexdocs.pm/cachex/)
datagouv-dataeng-utils,etalab/datagouv-dataeng-utils,Data Gouv Data Engineering utils,functions for dataeng in data.gouv.fr team
schema-comptage-mobilites,etalab/schema-comptage-mobilites,Schéma de données pour le comptage des mobilités,Spécifications du fichier d'échange relatif aux comptages des mobilités
schema-comptage-mobilites_test,etalab/schema-comptage-mobilites_test,Schéma de données pour le comptage des mobilités,Spécifications du fichier d'échange relatif aux comptages des mobilités
schema-tiers-lieu,etalab/schema-tiers-lieu,Template de départ pour Table Schema,Ce dépôt contient les fichiers nécessaires pour démarrer la création d'un dépôt pour un schéma [Table Schema](https://specs.frictionlessdata.io/table-schema/).
schema-indice-reparabilite,etalab/schema-indice-reparabilite,Répertoire national de l’indice de réparabilité,"L’affichage obligatoire d’un indice de réparabilité est institué par l’article 16 de la loi n° 2020-105 du 10 février 2020 de lutte contre le gaspillage et pour l’économie circulaire, pour les produits électriques et électroniques. En affichant une note sur 10, cet indice informe les consommateurs sur le caractère plus ou moins réparable des produits concernés. Il s’applique depuis le 1er janvier 2021 aux smartphones, ordinateurs portables, téléviseurs, tondeuses à gazon, et lave-linges hublot et depuis le 4 novembre 2022 aux lave-linges top, lave-vaisselles, aspirateurs, nettoyeurs haute-pression."
schema-indice-durabilite,etalab/schema-indice-durabilite,Répertoire national de l’indice de durabilité,"L’affichage obligatoire d’un indice de durabilité est institué par l’article 16 de la loi n° 2020-105 du 10 février 2020 de lutte contre le gaspillage et pour l’économie circulaire, pour les produits électriques et électroniques. En affichant une note sur 10, cet indice informe les consommateurs sur le caractère plus ou moins durable des produits concernés en prenant en compte la réparabilité et la fiabilité des produits. Il s’applique depuis le 5 janvier 2025 sur les téléviseurs et le 5 avril 2025 sur les lave-linges."
data_pass,etalab/data_pass,[![Continuous Deployment](https://github.com/etalab/data_pass/actions/workflows/continuous-deployment.yaml/badge.svg)](https://github.com/etalab/data_pass/actions/workflows/continuous-deployment.yaml),L'outil de gestion des habilitations juridiques pour les données à accès restreint.
transport-profil-siri-fr,etalab/transport-profil-siri-fr,Profil France de SIRI,Ce espace de travail regroupe l'ensemble des éléments du profil France de SIRI tel que publié sur le site : https://normes.transport.data.gouv.fr.
hackathon-dsn,etalab/hackathon-dsn,Hackathon DSN,Dépôt pour le Hackathon DSN organisé par la Direction interministérielle du numérique.
formulaire-qf,etalab/formulaire-qf,README,"Pour l'API, consulter le [swagger](/docs/swagger.yaml)"
programme10pourcent-kallm,etalab/programme10pourcent-kallm,Projet KALLM : Kit avancé LLM,"Ce projet fait partie de la [troisième saison du Programme 10%](https://10pct.datascience.etalab.studio/les-actualites/saison-3-programme-10/), co-porté par la DINUM en association étroite avec l'Insee."
hackathon-GenAI-for-Public-Good,etalab/hackathon-GenAI-for-Public-Good,Hackathon GenAI for Public Good 🤖,📙 **Retrouvez le Guide du participant en cliquant** [ici](https://alliance.numerique.gouv.fr/hackathon/participant-guide-fr/)
